case,year,Scenario,TechSensitivity,nonsrec_energy_revenue,nonsrec_capacity_revenue,nonsrec_rps_revenue,nonsrec_revenue,capacity,output,capacityfactor,nonsrec_revenue_permwh
deepdecarbonization_dgsolar_highngcost,2040,DD + High Solar,High NatGas Price,420299086.1531737,2730506.898439339,0,423029593.05161303,10473.906,18764823.185694236,0.20451807600619604,22.54375588117018
deepdecarbonization_dgsolar_highngcost,2050,DD + High Solar,High NatGas Price,616990993.8821565,3412111.438994211,-3,620403102.3211507,15730.893916666668,27918570.264222734,0.20259823865754945,22.221879431848585
deepdecarbonization_dgsolar_highrecost,2030,DD + High Solar,High RE/BESS Cost,244059509.3551551,2428469.132019325,0,246487978.48717442,4370.225083333334,7839489.807756768,0.20477639269406395,31.441839269092153
deepdecarbonization_dgsolar_highrecost,2040,DD + High Solar,High RE/BESS Cost,553366316.1790689,669239.6587645249,-2,554035553.8378334,10473.906,18764823.185694236,0.20451807600619604,29.52522112013367
deepdecarbonization_dgsolar_highrecost,2050,DD + High Solar,High RE/BESS Cost,659112883.2868352,595028.5691804937,-5,659707906.8560157,15730.893916666668,27918570.264222734,0.20259823865754945,23.629716730208866
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2030,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,214415907.97752613,1128022.1140321214,-3,215543927.09155825,4370.225083333334,7839489.807756768,0.20477639269406395,27.494637071699326
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2040,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,415259230.74077725,2658781.8624728955,-11,417918001.60325015,10473.906,18764823.185694236,0.20451807600619604,22.271353024091315
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2050,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,587246150.9025068,4620503.878068709,1871,591868525.7805755,15730.893916666668,27918570.264222734,0.20259823865754945,21.199815039921543
deepdecarbonization_dgsolar_instaterps_highngcost,2030,DD + High Solar + 80% Instate,High NatGas Price,216477625.9691204,792144.0670580142,0,217269770.03617844,4370.225083333334,7839489.807756768,0.20477639269406395,27.71478442655813
deepdecarbonization_dgsolar_instaterps_highngcost,2040,DD + High Solar + 80% Instate,High NatGas Price,420295888.61881506,2730507.061832273,-2,423026393.6806473,10473.906,18764823.185694236,0.20451807600619604,22.543585382842856
deepdecarbonization_dgsolar_instaterps_highngcost,2050,DD + High Solar + 80% Instate,High NatGas Price,616469091.5369399,3441419.1703541046,5190391,625100901.707294,15730.893916666668,27918570.264222734,0.20259823865754945,22.390147338896945
deepdecarbonization_dgsolar_instaterps_highrecost,2030,DD + High Solar + 80% Instate,High RE/BESS Cost,244060361.70799282,2428479.2587048886,-1,246488839.96669772,4370.225083333334,7839489.807756768,0.20477639269406395,31.441949158835545
deepdecarbonization_dgsolar_instaterps_highrecost,2040,DD + High Solar + 80% Instate,High RE/BESS Cost,553367185.8071418,669224.9534005008,-22,554036388.7605423,10473.906,18764823.185694236,0.20451807600619604,29.52526561416916
deepdecarbonization_dgsolar_instaterps_highrecost,2050,DD + High Solar + 80% Instate,High RE/BESS Cost,640687501.1320502,599158.3063750727,130200860,771487519.4384252,15730.893916666668,27918570.264222734,0.20259823865754945,27.633489542517008
deepdecarbonization_dgsolar_instaterps_lowngcost,2030,DD + High Solar + 80% Instate,Low NatGas Price,216830113.00834835,1140377.4255939978,-1,217970489.43394235,4370.225083333334,7839489.807756768,0.20477639269406395,27.80416771742874
deepdecarbonization_dgsolar_instaterps_lowngcost,2040,DD + High Solar + 80% Instate,Low NatGas Price,418187153.1446652,936296.6734961208,-11,419123438.8181613,10473.906,18764823.185694236,0.20451807600619604,22.33559222330904
