name,case,year,rps_revenue,capacity,capacityfactor,rps_revenue_per_mwh,Scenario,TechSensitivity
PJM_Dom,statedpolicy_instaterps_mid,2030,987423,184.80067759999997,0.21561282498164652,2.82892206936615,SP + 80% Instate,Mid
PJM_NJCoast,statedpolicy_instaterps_mid,2030,10184564,2011.9683527999998,0.20477639269406395,2.821871946056153,SP + 80% Instate,Mid
PJM_NJLand,statedpolicy_instaterps_mid,2030,19579190,3870.9800471999997,0.20477639269406395,2.819614879053544,SP + 80% Instate,Mid
PJM_PECO,statedpolicy_instaterps_mid,2030,846363,164.4267353,0.20723534246575342,2.8354128683787807,SP + 80% Instate,Mid
PJM_SMAC,statedpolicy_instaterps_mid,2030,20058797,3791.5132052999998,0.21416158255810666,2.819983951188892,SP + 80% Instate,Mid
PJM_WEST,statedpolicy_instaterps_mid,2030,4401086,843.6605847,0.2110984822277493,2.820998650893172,SP + 80% Instate,Mid
PJM_WestMAC,statedpolicy_instaterps_mid,2030,818151,162.3904909,0.20723534246575342,2.7752680861405303,SP + 80% Instate,Mid
SC_TVA,statedpolicy_instaterps_mid,2030,-0,132.57017249999998,0.21701011644492688,-0,SP + 80% Instate,Mid
SC_VACA,statedpolicy_instaterps_mid,2030,-0,510.9217339999999,0.21617944195790062,-0,SP + 80% Instate,Mid
MIS_Central,statedpolicy_instaterps_mid,2040,-0,552.315614,0.2166453037361896,-0,SP + 80% Instate,Mid
MIS_East,statedpolicy_instaterps_mid,2040,-0,136.2883046,0.2028285844748858,-0,SP + 80% Instate,Mid
NY_East,statedpolicy_instaterps_mid,2040,47439684,1499.8591579999998,0.2052567579908676,17.59096794147545,SP + 80% Instate,Mid
NY_West,statedpolicy_instaterps_mid,2040,16691741,526.977542,0.20525675799086757,17.61602665215772,SP + 80% Instate,Mid
PJM_COMD,statedpolicy_instaterps_mid,2040,282324,481.7118708,0.20897022831050224,0.3201635791966182,SP + 80% Instate,Mid
PJM_Delaware,statedpolicy_instaterps_mid,2040,397820,661.6038196,0.21352812079547911,0.3214618391612313,SP + 80% Instate,Mid
PJM_Dom,statedpolicy_instaterps_mid,2040,112288,184.80067759999997,0.21561282498164652,0.3217000225080703,SP + 80% Instate,Mid
PJM_NJCoast,statedpolicy_instaterps_mid,2040,26828168,2011.9683527999998,0.20477639269406395,7.433372174133465,SP + 80% Instate,Mid
PJM_NJLand,statedpolicy_instaterps_mid,2040,51575481,3870.9800471999997,0.20477639269406395,7.427426447260759,SP + 80% Instate,Mid
PJM_PECO,statedpolicy_instaterps_mid,2040,96247,164.4267353,0.20723534246575342,0.3224384600258429,SP + 80% Instate,Mid
PJM_SMAC,statedpolicy_instaterps_mid,2040,2524874,4192.7348855,0.21419624883045676,0.3209418422103804,SP + 80% Instate,Mid
PJM_WEST,statedpolicy_instaterps_mid,2040,516525,868.5094562999999,0.21118848288863662,0.3214714865178695,SP + 80% Instate,Mid
PJM_WestMAC,statedpolicy_instaterps_mid,2040,93039,162.3904909,0.20723534246575342,0.3155996478234811,SP + 80% Instate,Mid
SC_TVA,statedpolicy_instaterps_mid,2040,-0,132.57017249999998,0.21701011644492688,-0,SP + 80% Instate,Mid
