Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,Capacity,Charging Capacity,Energy Capacity,Capacity Expansion,Energy Capacity Expansion,Charging Capacity Expansion,Capacity Retirement,Energy Capacity Retirement,Charging Capacity Retirement
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Utility Solar,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,47936.412,0,0,35629.312,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Battery,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,3687.469,0,12606.653,3687.469,12606.653,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Biomass,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CC,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,13974.38,0,0,0,0,0,3981.32,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Geothermal,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,2946.513,0,0,1710,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Offshore Wind,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Onshore Wind,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,9659.059,0,0,3595.859,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Pumped hydro,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,3425.4,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Utility Solar,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,47936.405,0,0,35629.305,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Battery,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,3863.995,0,12924.089,3863.995,12924.089,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Biomass,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CC,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,14087.149,0,0,0,0,0,3868.551,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CC w/CCS,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
