case,year,Fuel,Scenario,TechSensitivity,Total Subsidy
statedpolicy_dgsolar_instaterps_highngcost,2040,Nuclear,SP + High Solar + 80% Instate,High NatGas Price,0.55
statedpolicy_dgsolar_instaterps_highngcost,2040,Offshore Wind,SP + High Solar + 80% Instate,High NatGas Price,31.49
statedpolicy_dgsolar_instaterps_highngcost,2040,Utility Solar,SP + High Solar + 80% Instate,High NatGas Price,6.16
statedpolicy_dgsolar_instaterps_highngcost,2050,Nuclear,SP + High Solar + 80% Instate,High NatGas Price,22.46
statedpolicy_dgsolar_instaterps_highngcost,2050,Offshore Wind,SP + High Solar + 80% Instate,High NatGas Price,22.46
statedpolicy_dgsolar_instaterps_highngcost,2050,Utility Solar,SP + High Solar + 80% Instate,High NatGas Price,22.46
statedpolicy_dgsolar_instaterps_highrecost,2030,Nuclear,SP + High Solar + 80% Instate,High RE/BESS Cost,8.78
statedpolicy_dgsolar_instaterps_highrecost,2030,Offshore Wind,SP + High Solar + 80% Instate,High RE/BESS Cost,55.45
statedpolicy_dgsolar_instaterps_highrecost,2030,Utility Solar,SP + High Solar + 80% Instate,High RE/BESS Cost,13.28
statedpolicy_dgsolar_instaterps_highrecost,2040,Nuclear,SP + High Solar + 80% Instate,High RE/BESS Cost,5.38
statedpolicy_dgsolar_instaterps_highrecost,2040,Offshore Wind,SP + High Solar + 80% Instate,High RE/BESS Cost,63.18
statedpolicy_dgsolar_instaterps_highrecost,2040,Utility Solar,SP + High Solar + 80% Instate,High RE/BESS Cost,13.23
statedpolicy_dgsolar_instaterps_highrecost,2050,Nuclear,SP + High Solar + 80% Instate,High RE/BESS Cost,26.48
statedpolicy_dgsolar_instaterps_highrecost,2050,Offshore Wind,SP + High Solar + 80% Instate,High RE/BESS Cost,59.28
statedpolicy_dgsolar_instaterps_highrecost,2050,Utility Solar,SP + High Solar + 80% Instate,High RE/BESS Cost,28.55
statedpolicy_dgsolar_instaterps_lowngcost,2030,Nuclear,SP + High Solar + 80% Instate,Low NatGas Price,12.12
statedpolicy_dgsolar_instaterps_lowngcost,2030,Offshore Wind,SP + High Solar + 80% Instate,Low NatGas Price,45.64
statedpolicy_dgsolar_instaterps_lowngcost,2030,Utility Solar,SP + High Solar + 80% Instate,Low NatGas Price,11.75
statedpolicy_dgsolar_instaterps_lowngcost,2040,Nuclear,SP + High Solar + 80% Instate,Low NatGas Price,10.53
statedpolicy_dgsolar_instaterps_lowngcost,2040,Offshore Wind,SP + High Solar + 80% Instate,Low NatGas Price,42.08
statedpolicy_dgsolar_instaterps_lowngcost,2040,Utility Solar,SP + High Solar + 80% Instate,Low NatGas Price,13.43
statedpolicy_dgsolar_instaterps_lowngcost,2050,Nuclear,SP + High Solar + 80% Instate,Low NatGas Price,32.89
statedpolicy_dgsolar_instaterps_lowngcost,2050,Offshore Wind,SP + High Solar + 80% Instate,Low NatGas Price,35.99
statedpolicy_dgsolar_instaterps_lowngcost,2050,Utility Solar,SP + High Solar + 80% Instate,Low NatGas Price,35.87
statedpolicy_dgsolar_instaterps_lowrecost,2030,Nuclear,SP + High Solar + 80% Instate,Low RE/BESS Cost,8.84
statedpolicy_dgsolar_instaterps_lowrecost,2030,Offshore Wind,SP + High Solar + 80% Instate,Low RE/BESS Cost,35.8
statedpolicy_dgsolar_instaterps_lowrecost,2030,Utility Solar,SP + High Solar + 80% Instate,Low RE/BESS Cost,7.94
statedpolicy_dgsolar_instaterps_lowrecost,2040,Offshore Wind,SP + High Solar + 80% Instate,Low RE/BESS Cost,26.26
statedpolicy_dgsolar_instaterps_lowrecost,2040,Utility Solar,SP + High Solar + 80% Instate,Low RE/BESS Cost,7.45
statedpolicy_dgsolar_instaterps_lowrecost,2050,Offshore Wind,SP + High Solar + 80% Instate,Low RE/BESS Cost,27.48
statedpolicy_dgsolar_instaterps_lowrecost,2050,Utility Solar,SP + High Solar + 80% Instate,Low RE/BESS Cost,27.48
