case,year,Scenario,TechSensitivity,energy_revenue
deepdecarbonization_dgsolar_nuclear_mid,2050,DD + High Solar + Nuclear,Mid,727373475.8616395
deepdecarbonization_dgsolar_nuclear_noflexibleload,2030,DD + High Solar + Nuclear,No Flexible Load,386231391.26580715
deepdecarbonization_dgsolar_nuclear_noflexibleload,2040,DD + High Solar + Nuclear,No Flexible Load,574195519.6577765
deepdecarbonization_dgsolar_nuclear_noflexibleload,2050,DD + High Solar + Nuclear,No Flexible Load,795863595.3726741
deepdecarbonization_dgsolar_nuclear_nointertrans,2030,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,391444965.2614956
deepdecarbonization_dgsolar_nuclear_nointertrans,2040,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,536967573.1967651
deepdecarbonization_dgsolar_nuclear_nointertrans,2050,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,715301334.7466168
deepdecarbonization_doublezcfcost,2030,Deep Decarbonization (DD),Doubled ZCF Fuel Price,287882068.61737275
deepdecarbonization_doublezcfcost,2040,Deep Decarbonization (DD),Doubled ZCF Fuel Price,235907083.465612
deepdecarbonization_doublezcfcost,2050,Deep Decarbonization (DD),Doubled ZCF Fuel Price,221533540.96701095
deepdecarbonization_highngcost,2030,Deep Decarbonization (DD),High NatGas Price,295421931.17913216
deepdecarbonization_highngcost,2040,Deep Decarbonization (DD),High NatGas Price,235174511.756285
deepdecarbonization_highngcost,2050,Deep Decarbonization (DD),High NatGas Price,225507912.00648382
deepdecarbonization_highrecost,2030,Deep Decarbonization (DD),High RE/BESS Cost,327559236.8865521
deepdecarbonization_highrecost,2040,Deep Decarbonization (DD),High RE/BESS Cost,319854715.7857309
deepdecarbonization_highrecost,2050,Deep Decarbonization (DD),High RE/BESS Cost,261996862.12700546
deepdecarbonization_instaterps_doublezcfcost,2030,DD + 80% Instate,Doubled ZCF Fuel Price,287882046.70058715
deepdecarbonization_instaterps_doublezcfcost,2040,DD + 80% Instate,Doubled ZCF Fuel Price,221423710.43708703
deepdecarbonization_instaterps_doublezcfcost,2050,DD + 80% Instate,Doubled ZCF Fuel Price,213607222.5528638
deepdecarbonization_instaterps_highngcost,2030,DD + 80% Instate,High NatGas Price,295422292.25675106
deepdecarbonization_instaterps_highngcost,2040,DD + 80% Instate,High NatGas Price,220838072.03398365
deepdecarbonization_instaterps_highngcost,2050,DD + 80% Instate,High NatGas Price,222670392.37606668
deepdecarbonization_instaterps_highrecost,2030,DD + 80% Instate,High RE/BESS Cost,327559443.85473514
deepdecarbonization_instaterps_highrecost,2040,DD + 80% Instate,High RE/BESS Cost,298703496.22832966
deepdecarbonization_instaterps_highrecost,2050,DD + 80% Instate,High RE/BESS Cost,226809514.5035308
deepdecarbonization_instaterps_lowngcost,2030,DD + 80% Instate,Low NatGas Price,290573642.4570416
