Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,AnnualOutput
PJM,currentpolicy_10ci_adv_nocip,2030,Hydro,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,10580998.7
PJM,currentpolicy_10ci_adv_nocip,2030,Nuclear,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,56452035.1
PJM,currentpolicy_10ci_adv_nocip,2030,Offshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,28811382.9
PJM,currentpolicy_10ci_adv_nocip,2030,Onshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,41283298.7
PJM,currentpolicy_10ci_adv_nocip,2030,Utility Solar,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,71167882.4
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Biomass,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,2209465.49
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Coal,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9.80575788
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,757695746
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,324810.245
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas steam,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.34364308
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,10580998.5
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,56452034.1
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Offshore Wind,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,28811383.2
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Onshore Wind,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,41283297.4
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Utility Solar,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,71167883.6
PJM,currentpolicy_10ci_nocip,2030,Biomass,"10% CI Part., Curt. Tech.",No 24x7 Purchase,2209465.49
PJM,currentpolicy_10ci_nocip,2030,Coal,"10% CI Part., Curt. Tech.",No 24x7 Purchase,15.3251762
PJM,currentpolicy_10ci_nocip,2030,Gas CC,"10% CI Part., Curt. Tech.",No 24x7 Purchase,757613779
PJM,currentpolicy_10ci_nocip,2030,Gas CC w/CCS,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0
PJM,currentpolicy_10ci_nocip,2030,Gas CT,"10% CI Part., Curt. Tech.",No 24x7 Purchase,324906.666
PJM,currentpolicy_10ci_nocip,2030,Gas steam,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0.53776981
