case,year,Scenario,TechSensitivity,nonsrec_energy_revenue
deepdecarbonization_nuclear_lowngcost,2050,DD + Nuclear,Low NatGas Price,78061098.26210935
deepdecarbonization_nuclear_lowrecost,2030,DD + Nuclear,Low RE/BESS Cost,90372503.53096063
deepdecarbonization_nuclear_lowrecost,2040,DD + Nuclear,Low RE/BESS Cost,73562306.21140265
deepdecarbonization_nuclear_lowrecost,2050,DD + Nuclear,Low RE/BESS Cost,74558107.96524838
deepdecarbonization_nuclear_mid,2030,DD + Nuclear,Mid,98648009.08717632
deepdecarbonization_nuclear_mid,2040,DD + Nuclear,Mid,84815019.19080465
deepdecarbonization_nuclear_mid,2050,DD + Nuclear,Mid,81123320.01585436
deepdecarbonization_nuclear_noflexibleload,2030,DD + Nuclear,No Flexible Load,97981792.01136208
deepdecarbonization_nuclear_noflexibleload,2040,DD + Nuclear,No Flexible Load,89248555.56699052
deepdecarbonization_nuclear_noflexibleload,2050,DD + Nuclear,No Flexible Load,89355786.00031856
deepdecarbonization_nuclear_nointertrans,2030,DD + Nuclear,No Interregional Transmission Upgrade,99615581.80161387
deepdecarbonization_nuclear_nointertrans,2040,DD + Nuclear,No Interregional Transmission Upgrade,85463147.39869228
deepdecarbonization_nuclear_nointertrans,2050,DD + Nuclear,No Interregional Transmission Upgrade,80754938.24807121
statedpolicy_dgsolar_doublezcfcost,2030,SP + High Solar,Doubled ZCF Fuel Price,177002317.8155023
statedpolicy_dgsolar_doublezcfcost,2040,SP + High Solar,Doubled ZCF Fuel Price,371542500.2195341
statedpolicy_dgsolar_doublezcfcost,2050,SP + High Solar,Doubled ZCF Fuel Price,555999385.4178207
statedpolicy_dgsolar_highngcost,2030,SP + High Solar,High NatGas Price,200993192.94936618
statedpolicy_dgsolar_highngcost,2040,SP + High Solar,High NatGas Price,366246626.30785847
statedpolicy_dgsolar_highngcost,2050,SP + High Solar,High NatGas Price,524303443.3018036
statedpolicy_dgsolar_highrecost,2030,SP + High Solar,High RE/BESS Cost,177810259.35543895
statedpolicy_dgsolar_highrecost,2040,SP + High Solar,High RE/BESS Cost,398673363.0104558
statedpolicy_dgsolar_highrecost,2050,SP + High Solar,High RE/BESS Cost,593192205.7885976
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,177001982.5280104
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,362335552.02392167
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,408422056.614298
statedpolicy_dgsolar_instaterps_highngcost,2030,SP + High Solar + 80% Instate,High NatGas Price,200993023.94803047
statedpolicy_dgsolar_instaterps_highngcost,2040,SP + High Solar + 80% Instate,High NatGas Price,360785305.3952528
statedpolicy_dgsolar_instaterps_highngcost,2050,SP + High Solar + 80% Instate,High NatGas Price,395296773.31406045
statedpolicy_dgsolar_instaterps_highrecost,2030,SP + High Solar + 80% Instate,High RE/BESS Cost,177810376.00868636
statedpolicy_dgsolar_instaterps_highrecost,2040,SP + High Solar + 80% Instate,High RE/BESS Cost,392860814.61393005
statedpolicy_dgsolar_instaterps_highrecost,2050,SP + High Solar + 80% Instate,High RE/BESS Cost,396473816.3522599
statedpolicy_dgsolar_instaterps_lowngcost,2030,SP + High Solar + 80% Instate,Low NatGas Price,149035749.551169
statedpolicy_dgsolar_instaterps_lowngcost,2040,SP + High Solar + 80% Instate,Low NatGas Price,274589644.2509819
statedpolicy_dgsolar_instaterps_lowngcost,2050,SP + High Solar + 80% Instate,Low NatGas Price,214366560.01015368
statedpolicy_dgsolar_instaterps_lowrecost,2030,SP + High Solar + 80% Instate,Low RE/BESS Cost,175659895.79686463
statedpolicy_dgsolar_instaterps_lowrecost,2040,SP + High Solar + 80% Instate,Low RE/BESS Cost,291522566.51084167
statedpolicy_dgsolar_instaterps_lowrecost,2050,SP + High Solar + 80% Instate,Low RE/BESS Cost,360424934.5135978
statedpolicy_dgsolar_instaterps_mid,2030,SP + High Solar + 80% Instate,Mid,177001982.5280104
statedpolicy_dgsolar_instaterps_mid,2040,SP + High Solar + 80% Instate,Mid,357054047.877721
statedpolicy_dgsolar_instaterps_mid,2050,SP + High Solar + 80% Instate,Mid,355358736.583324
