case,year,Scenario,TechSensitivity,rps_revenue
deepdecarbonization_nuclear_doublezcfcost,2030,DD + Nuclear,Doubled ZCF Fuel Price,0
deepdecarbonization_nuclear_doublezcfcost,2040,DD + Nuclear,Doubled ZCF Fuel Price,-2
deepdecarbonization_nuclear_doublezcfcost,2050,DD + Nuclear,Doubled ZCF Fuel Price,-3
deepdecarbonization_nuclear_highngcost,2030,DD + Nuclear,High NatGas Price,-1
deepdecarbonization_nuclear_highngcost,2040,DD + Nuclear,High NatGas Price,0
deepdecarbonization_nuclear_highngcost,2050,DD + Nuclear,High NatGas Price,-5
deepdecarbonization_nuclear_highrecost,2030,DD + Nuclear,High RE/BESS Cost,-1
deepdecarbonization_nuclear_highrecost,2040,DD + Nuclear,High RE/BESS Cost,-5
deepdecarbonization_nuclear_highrecost,2050,DD + Nuclear,High RE/BESS Cost,-2
deepdecarbonization_nuclear_instaterps_doublezcfcost,2030,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,-1
deepdecarbonization_nuclear_instaterps_doublezcfcost,2040,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,25442100
deepdecarbonization_nuclear_instaterps_doublezcfcost,2050,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,17182375
deepdecarbonization_nuclear_instaterps_highngcost,2030,DD + Nuclear + 80% Instate,High NatGas Price,-1
deepdecarbonization_nuclear_instaterps_highngcost,2040,DD + Nuclear + 80% Instate,High NatGas Price,24441607
deepdecarbonization_nuclear_instaterps_highngcost,2050,DD + Nuclear + 80% Instate,High NatGas Price,23794558
deepdecarbonization_nuclear_instaterps_highrecost,2030,DD + Nuclear + 80% Instate,High RE/BESS Cost,0
deepdecarbonization_nuclear_instaterps_highrecost,2040,DD + Nuclear + 80% Instate,High RE/BESS Cost,47302467
deepdecarbonization_nuclear_instaterps_highrecost,2050,DD + Nuclear + 80% Instate,High RE/BESS Cost,352055298
deepdecarbonization_nuclear_instaterps_lowngcost,2030,DD + Nuclear + 80% Instate,Low NatGas Price,-2
deepdecarbonization_nuclear_instaterps_lowngcost,2040,DD + Nuclear + 80% Instate,Low NatGas Price,24871976
deepdecarbonization_nuclear_instaterps_lowngcost,2050,DD + Nuclear + 80% Instate,Low NatGas Price,66241089
deepdecarbonization_nuclear_instaterps_lowrecost,2030,DD + Nuclear + 80% Instate,Low RE/BESS Cost,-2
deepdecarbonization_nuclear_instaterps_lowrecost,2040,DD + Nuclear + 80% Instate,Low RE/BESS Cost,16229213
deepdecarbonization_nuclear_instaterps_lowrecost,2050,DD + Nuclear + 80% Instate,Low RE/BESS Cost,-7
deepdecarbonization_nuclear_instaterps_mid,2030,DD + Nuclear + 80% Instate,Mid,-1
deepdecarbonization_nuclear_instaterps_mid,2040,DD + Nuclear + 80% Instate,Mid,24269992
deepdecarbonization_nuclear_instaterps_mid,2050,DD + Nuclear + 80% Instate,Mid,47605846
deepdecarbonization_nuclear_instaterps_noflexibleload,2030,DD + Nuclear + 80% Instate,No Flexible Load,-12
deepdecarbonization_nuclear_instaterps_noflexibleload,2040,DD + Nuclear + 80% Instate,No Flexible Load,13831225
deepdecarbonization_nuclear_instaterps_noflexibleload,2050,DD + Nuclear + 80% Instate,No Flexible Load,53610635
deepdecarbonization_nuclear_instaterps_nointertrans,2030,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,-3
deepdecarbonization_nuclear_instaterps_nointertrans,2040,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,15702966
deepdecarbonization_nuclear_instaterps_nointertrans,2050,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,57055507
deepdecarbonization_nuclear_lowngcost,2030,DD + Nuclear,Low NatGas Price,0
deepdecarbonization_nuclear_lowngcost,2040,DD + Nuclear,Low NatGas Price,-3
deepdecarbonization_nuclear_lowngcost,2050,DD + Nuclear,Low NatGas Price,0
deepdecarbonization_nuclear_lowrecost,2030,DD + Nuclear,Low RE/BESS Cost,-1
deepdecarbonization_nuclear_lowrecost,2040,DD + Nuclear,Low RE/BESS Cost,0
deepdecarbonization_nuclear_lowrecost,2050,DD + Nuclear,Low RE/BESS Cost,-2
deepdecarbonization_nuclear_mid,2030,DD + Nuclear,Mid,0
deepdecarbonization_nuclear_mid,2040,DD + Nuclear,Mid,-1
deepdecarbonization_nuclear_mid,2050,DD + Nuclear,Mid,-1
deepdecarbonization_nuclear_noflexibleload,2030,DD + Nuclear,No Flexible Load,0
deepdecarbonization_nuclear_noflexibleload,2040,DD + Nuclear,No Flexible Load,-3
deepdecarbonization_nuclear_noflexibleload,2050,DD + Nuclear,No Flexible Load,-11
deepdecarbonization_nuclear_nointertrans,2030,DD + Nuclear,No Interregional Transmission Upgrade,-4
deepdecarbonization_nuclear_nointertrans,2040,DD + Nuclear,No Interregional Transmission Upgrade,-1
deepdecarbonization_nuclear_nointertrans,2050,DD + Nuclear,No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_doublezcfcost,2030,SP + High Solar,Doubled ZCF Fuel Price,38728469
statedpolicy_dgsolar_doublezcfcost,2040,SP + High Solar,Doubled ZCF Fuel Price,4946606
statedpolicy_dgsolar_doublezcfcost,2050,SP + High Solar,Doubled ZCF Fuel Price,12434539
statedpolicy_dgsolar_highngcost,2030,SP + High Solar,High NatGas Price,1479639
statedpolicy_dgsolar_highngcost,2040,SP + High Solar,High NatGas Price,0
statedpolicy_dgsolar_highngcost,2050,SP + High Solar,High NatGas Price,0
statedpolicy_dgsolar_highrecost,2030,SP + High Solar,High RE/BESS Cost,77497241
statedpolicy_dgsolar_highrecost,2040,SP + High Solar,High RE/BESS Cost,131971009
statedpolicy_dgsolar_highrecost,2050,SP + High Solar,High RE/BESS Cost,72032391
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,38727575
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,157517333
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,759529696
statedpolicy_dgsolar_instaterps_highngcost,2030,SP + High Solar + 80% Instate,High NatGas Price,1479732
statedpolicy_dgsolar_instaterps_highngcost,2040,SP + High Solar + 80% Instate,High NatGas Price,14172407
statedpolicy_dgsolar_instaterps_highngcost,2050,SP + High Solar + 80% Instate,High NatGas Price,783523321
statedpolicy_dgsolar_instaterps_highrecost,2030,SP + High Solar + 80% Instate,High RE/BESS Cost,77495349
statedpolicy_dgsolar_instaterps_highrecost,2040,SP + High Solar + 80% Instate,High RE/BESS Cost,271626566
statedpolicy_dgsolar_instaterps_highrecost,2050,SP + High Solar + 80% Instate,High RE/BESS Cost,995908713
statedpolicy_dgsolar_instaterps_lowngcost,2030,SP + High Solar + 80% Instate,Low NatGas Price,65773676
statedpolicy_dgsolar_instaterps_lowngcost,2040,SP + High Solar + 80% Instate,Low NatGas Price,346389044
statedpolicy_dgsolar_instaterps_lowngcost,2050,SP + High Solar + 80% Instate,Low NatGas Price,1251309913
statedpolicy_dgsolar_instaterps_lowrecost,2030,SP + High Solar + 80% Instate,Low RE/BESS Cost,21111931
statedpolicy_dgsolar_instaterps_lowrecost,2040,SP + High Solar + 80% Instate,Low RE/BESS Cost,192245681
statedpolicy_dgsolar_instaterps_lowrecost,2050,SP + High Solar + 80% Instate,Low RE/BESS Cost,958442430
statedpolicy_dgsolar_instaterps_mid,2030,SP + High Solar + 80% Instate,Mid,38727575
statedpolicy_dgsolar_instaterps_mid,2040,SP + High Solar + 80% Instate,Mid,160324501
statedpolicy_dgsolar_instaterps_mid,2050,SP + High Solar + 80% Instate,Mid,987374933
statedpolicy_dgsolar_instaterps_noflexibleload,2030,SP + High Solar + 80% Instate,No Flexible Load,41644560
statedpolicy_dgsolar_instaterps_noflexibleload,2040,SP + High Solar + 80% Instate,No Flexible Load,177389288
statedpolicy_dgsolar_instaterps_noflexibleload,2050,SP + High Solar + 80% Instate,No Flexible Load,1024616497
statedpolicy_dgsolar_instaterps_nointertrans,2030,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,39275892
statedpolicy_dgsolar_instaterps_nointertrans,2040,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,174112428
statedpolicy_dgsolar_instaterps_nointertrans,2050,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,1012011577
statedpolicy_dgsolar_lowngcost,2030,SP + High Solar,Low NatGas Price,65773111
statedpolicy_dgsolar_lowngcost,2040,SP + High Solar,Low NatGas Price,75448680
statedpolicy_dgsolar_lowngcost,2050,SP + High Solar,Low NatGas Price,102814131
statedpolicy_dgsolar_lowrecost,2030,SP + High Solar,Low RE/BESS Cost,21112043
statedpolicy_dgsolar_lowrecost,2040,SP + High Solar,Low RE/BESS Cost,-2
statedpolicy_dgsolar_lowrecost,2050,SP + High Solar,Low RE/BESS Cost,-7
statedpolicy_dgsolar_mid,2030,SP + High Solar,Mid,38728469
statedpolicy_dgsolar_mid,2040,SP + High Solar,Mid,5940518
statedpolicy_dgsolar_mid,2050,SP + High Solar,Mid,15600988
statedpolicy_dgsolar_noflexibleload,2030,SP + High Solar,No Flexible Load,41644972
statedpolicy_dgsolar_noflexibleload,2040,SP + High Solar,No Flexible Load,10491701
statedpolicy_dgsolar_noflexibleload,2050,SP + High Solar,No Flexible Load,25926717
statedpolicy_dgsolar_nointertrans,2030,SP + High Solar,No Interregional Transmission Upgrade,39275917
statedpolicy_dgsolar_nointertrans,2040,SP + High Solar,No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_nointertrans,2050,SP + High Solar,No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_nuclear_doublezcfcost,2030,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,38728469
statedpolicy_dgsolar_nuclear_doublezcfcost,2040,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,7921589
statedpolicy_dgsolar_nuclear_doublezcfcost,2050,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,16368151
statedpolicy_dgsolar_nuclear_highngcost,2030,SP + High Solar + Nuclear,High NatGas Price,1479639
statedpolicy_dgsolar_nuclear_highngcost,2040,SP + High Solar + Nuclear,High NatGas Price,0
statedpolicy_dgsolar_nuclear_highngcost,2050,SP + High Solar + Nuclear,High NatGas Price,0
statedpolicy_dgsolar_nuclear_highrecost,2030,SP + High Solar + Nuclear,High RE/BESS Cost,77497113
statedpolicy_dgsolar_nuclear_highrecost,2040,SP + High Solar + Nuclear,High RE/BESS Cost,135140946
statedpolicy_dgsolar_nuclear_highrecost,2050,SP + High Solar + Nuclear,High RE/BESS Cost,73871791
