case,year,Scenario,TechSensitivity,nonsrec_rps_revenue
deepdecarbonization_instaterps_highngcost,2050,DD + 80% Instate,High NatGas Price,7927993
deepdecarbonization_instaterps_highrecost,2030,DD + 80% Instate,High RE/BESS Cost,0
deepdecarbonization_instaterps_highrecost,2040,DD + 80% Instate,High RE/BESS Cost,15763310
deepdecarbonization_instaterps_highrecost,2050,DD + 80% Instate,High RE/BESS Cost,117322702
deepdecarbonization_instaterps_lowngcost,2030,DD + 80% Instate,Low NatGas Price,0
deepdecarbonization_instaterps_lowngcost,2040,DD + 80% Instate,Low NatGas Price,8288498
deepdecarbonization_instaterps_lowngcost,2050,DD + 80% Instate,Low NatGas Price,22073928
deepdecarbonization_instaterps_lowrecost,2030,DD + 80% Instate,Low RE/BESS Cost,0
deepdecarbonization_instaterps_lowrecost,2040,DD + 80% Instate,Low RE/BESS Cost,5408304
deepdecarbonization_instaterps_lowrecost,2050,DD + 80% Instate,Low RE/BESS Cost,-2
deepdecarbonization_instaterps_mid,2030,DD + 80% Instate,Mid,0
deepdecarbonization_instaterps_mid,2040,DD + 80% Instate,Mid,8088329
deepdecarbonization_instaterps_mid,2050,DD + 80% Instate,Mid,15862051
deepdecarbonization_instaterps_noflexibleload,2030,DD + 80% Instate,No Flexible Load,-4
deepdecarbonization_instaterps_noflexibleload,2040,DD + 80% Instate,No Flexible Load,4609187
deepdecarbonization_instaterps_noflexibleload,2050,DD + 80% Instate,No Flexible Load,17867162
deepdecarbonization_instaterps_nointertrans,2030,DD + 80% Instate,No Interregional Transmission Upgrade,-1
deepdecarbonization_instaterps_nointertrans,2040,DD + 80% Instate,No Interregional Transmission Upgrade,5233097
deepdecarbonization_instaterps_nointertrans,2050,DD + 80% Instate,No Interregional Transmission Upgrade,19011840
deepdecarbonization_lowngcost,2030,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowngcost,2040,Deep Decarbonization (DD),Low NatGas Price,-1
deepdecarbonization_lowngcost,2050,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowrecost,2030,Deep Decarbonization (DD),Low RE/BESS Cost,0
deepdecarbonization_lowrecost,2040,Deep Decarbonization (DD),Low RE/BESS Cost,0
deepdecarbonization_lowrecost,2050,Deep Decarbonization (DD),Low RE/BESS Cost,-2
deepdecarbonization_mid,2030,Deep Decarbonization (DD),Mid,0
deepdecarbonization_mid,2040,Deep Decarbonization (DD),Mid,-1
deepdecarbonization_mid,2050,Deep Decarbonization (DD),Mid,-1
deepdecarbonization_noflexibleload,2030,Deep Decarbonization (DD),No Flexible Load,0
deepdecarbonization_noflexibleload,2040,Deep Decarbonization (DD),No Flexible Load,-3
deepdecarbonization_noflexibleload,2050,Deep Decarbonization (DD),No Flexible Load,-4
deepdecarbonization_nointertrans,2030,Deep Decarbonization (DD),No Interregional Transmission Upgrade,-1
deepdecarbonization_nointertrans,2040,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0
deepdecarbonization_nointertrans,2050,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0
deepdecarbonization_nuclear_doublezcfcost,2030,DD + Nuclear,Doubled ZCF Fuel Price,0
deepdecarbonization_nuclear_doublezcfcost,2040,DD + Nuclear,Doubled ZCF Fuel Price,0
deepdecarbonization_nuclear_doublezcfcost,2050,DD + Nuclear,Doubled ZCF Fuel Price,-1
deepdecarbonization_nuclear_highngcost,2030,DD + Nuclear,High NatGas Price,0
deepdecarbonization_nuclear_highngcost,2040,DD + Nuclear,High NatGas Price,0
deepdecarbonization_nuclear_highngcost,2050,DD + Nuclear,High NatGas Price,-2
deepdecarbonization_nuclear_highrecost,2030,DD + Nuclear,High RE/BESS Cost,0
