case,year,Scenario,TechSensitivity,capacity_revenue
deepdecarbonization_nuclear_instaterps_mid,2040,DD + Nuclear + 80% Instate,Mid,1125483.370663569
deepdecarbonization_nuclear_instaterps_mid,2050,DD + Nuclear + 80% Instate,Mid,970865.2758614141
deepdecarbonization_nuclear_instaterps_noflexibleload,2030,DD + Nuclear + 80% Instate,No Flexible Load,5207376.59661003
deepdecarbonization_nuclear_instaterps_noflexibleload,2040,DD + Nuclear + 80% Instate,No Flexible Load,1452304.4036956457
deepdecarbonization_nuclear_instaterps_noflexibleload,2050,DD + Nuclear + 80% Instate,No Flexible Load,3355771.105966987
deepdecarbonization_nuclear_instaterps_nointertrans,2030,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,3893011.860740093
deepdecarbonization_nuclear_instaterps_nointertrans,2040,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,1241897.7303341683
deepdecarbonization_nuclear_instaterps_nointertrans,2050,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,1184755.814793116
deepdecarbonization_nuclear_lowngcost,2030,DD + Nuclear,Low NatGas Price,3936546.733124446
deepdecarbonization_nuclear_lowngcost,2040,DD + Nuclear,Low NatGas Price,650640.039852862
deepdecarbonization_nuclear_lowngcost,2050,DD + Nuclear,Low NatGas Price,1237160.1590431372
deepdecarbonization_nuclear_lowrecost,2030,DD + Nuclear,Low RE/BESS Cost,4247542.279630439
deepdecarbonization_nuclear_lowrecost,2040,DD + Nuclear,Low RE/BESS Cost,2190010.1432018946
deepdecarbonization_nuclear_lowrecost,2050,DD + Nuclear,Low RE/BESS Cost,3363945.1474427534
deepdecarbonization_nuclear_mid,2030,DD + Nuclear,Mid,3557417.9256169247
deepdecarbonization_nuclear_mid,2040,DD + Nuclear,Mid,1077594.9446811224
deepdecarbonization_nuclear_mid,2050,DD + Nuclear,Mid,1129869.722875582
deepdecarbonization_nuclear_noflexibleload,2030,DD + Nuclear,No Flexible Load,5207866.669743544
deepdecarbonization_nuclear_noflexibleload,2040,DD + Nuclear,No Flexible Load,1353504.3963219877
